author,book_id,pub_year,chapter_index,chapter_title,n_sentences,n_tokens,n_tokens_alpha,mean_sentence_len_tokens,var_sentence_len,var_sentence_len_tokens,mean_word_len,var_word_len,ttr,mtld,flesch_reading_ease,flesch_kincaid_grade,word_entropy_bits,vader_compound,vader_pos,vader_neu,vader_neg,n_unique_lemmas,pos_univ_.,pos_univ_ADJ,pos_univ_ADP,pos_univ_ADV,pos_univ_CONJ,pos_univ_DET,pos_univ_NOUN,pos_univ_NUM,pos_univ_PRON,pos_univ_PRT,pos_univ_VERB,pos_univ_X,pos_penn_'',pos_penn_CC,pos_penn_CD,pos_penn_DT,pos_penn_EX,pos_penn_FW,pos_penn_IN,pos_penn_JJ,pos_penn_JJR,pos_penn_JJS,pos_penn_MD,pos_penn_NN,pos_penn_NNP,pos_penn_NNPS,pos_penn_NNS,pos_penn_PDT,pos_penn_POS,pos_penn_PRP,pos_penn_PRP$,pos_penn_RB,pos_penn_RBR,pos_penn_RBS,pos_penn_RP,pos_penn_TO,pos_penn_UH,pos_penn_VB,pos_penn_VBD,pos_penn_VBG,pos_penn_VBN,pos_penn_VBP,pos_penn_VBZ,pos_penn_WDT,pos_penn_WP,pos_penn_WP$,pos_penn_WRB,pos_univ_prop_.,pos_univ_prop_ADJ,pos_univ_prop_ADP,pos_univ_prop_ADV,pos_univ_prop_CONJ,pos_univ_prop_DET,pos_univ_prop_NOUN,pos_univ_prop_NUM,pos_univ_prop_PRON,pos_univ_prop_PRT,pos_univ_prop_VERB,pos_univ_prop_X,pos_penn_prop_'',pos_penn_prop_CC,pos_penn_prop_CD,pos_penn_prop_DT,pos_penn_prop_EX,pos_penn_prop_FW,pos_penn_prop_IN,pos_penn_prop_JJ,pos_penn_prop_JJR,pos_penn_prop_JJS,pos_penn_prop_MD,pos_penn_prop_NN,pos_penn_prop_NNP,pos_penn_prop_NNPS,pos_penn_prop_NNS,pos_penn_prop_PDT,pos_penn_prop_POS,pos_penn_prop_PRP,pos_penn_prop_PRP$,pos_penn_prop_RB,pos_penn_prop_RBR,pos_penn_prop_RBS,pos_penn_prop_RP,pos_penn_prop_TO,pos_penn_prop_UH,pos_penn_prop_VB,pos_penn_prop_VBD,pos_penn_prop_VBG,pos_penn_prop_VBN,pos_penn_prop_VBP,pos_penn_prop_VBZ,pos_penn_prop_WDT,pos_penn_prop_WP,pos_penn_prop_WP$,pos_penn_prop_WRB,sample_sentences,pos_penn_$,pos_penn_prop_$
Dickens,PickwickPapers,1837,0,__FULL_BOOK__,11375,384876,293842,33.835252747252746,784.2914517493057,784.2914517493057,4.3501745836197685,5.677794311377747,0.0487,86.6907,67.89532204493882,7.860323208356867,9.599523654939478,1,0.124,0.807,0.068,12682,,21825,35536,17396,11699,35008,74965,1620,29347,8673,57673,100,,11699,1620,31806,714,70,35536,20763,579,483,2990,45337,19709,91,9828,478,4,19652,7870,15333,403,282,1718,6951,30,9437,21248,5885,7715,6446,3952,2010,1733,92,1378,,0.07427461,0.12093574097644312,0.059201884,0.039813914,0.11913885693672109,0.255120099,0.005513167,0.099873401,0.029515862266115803,0.19627214625547063,0.000340319,,0.039813914,0.005513167,0.10824184425643714,0.002429877,0.000238223,0.12093574097644312,0.070660423,0.001970447,0.001643741,0.010175536512819815,0.15429040096378327,0.067073461,0.00030969,0.033446546,0.001626725,1.3612757876682026e-05,0.066879479,0.026783101122371887,0.052181104,0.001371485,0.000959699,0.00584668,0.02365557,0.000102096,0.032115899,0.07231097,0.020027770026068432,0.026255606754650457,0.021936959318273084,0.013449404782161842,0.006840411,0.005897727,0.000313093,0.004689595,[],,
Dickens,OliverTwist,1838,0,__FULL_BOOK__,6494,198751,155514,30.605327995072376,605.9549516,605.9549516,4.236332420232262,5.015979748184751,0.063,93.7024,71.60475719063953,7.708045316729223,9.383656412370295,1,0.116,0.79,0.094,8527,,10954,19314,9648,6577,18603,35106,827,17429,4808,32190,58,,6577,827,16781,421,42,19314,10274,398,282,1893,22716,7558,35,4797,230,4,11962,4304,8392,253,92,981,3823,16,5586,11567,3701,4331,3228,1884,1171,1116,47,911,,0.070437388,0.12419460627339017,0.062039431,0.042292012294713015,0.11962267062772483,0.22574173386318916,0.005317849,0.11207351106652777,0.030916830639042145,0.2069910104556503,0.000372957,,0.042292012294713015,0.005317849,0.10790668364263024,0.002707152,0.000270072,0.12419460627339017,0.066064792,0.002559255,0.001813342,0.012172537520737683,0.1460704502488522,0.048600126,0.00022506,0.030846097457463636,0.001478967,2.5721156937639055e-05,0.07691912,0.027675965,0.053962987,0.001626863,0.000591587,0.006308114,0.024582995743148525,0.000102885,0.035919596,0.074379156,0.023798500456550537,0.027849582674228688,0.020756973648674716,0.012114664917627995,0.007529869,0.007176203,0.000302224,0.005857993,[],,
Dickens,NicholasNickelby,1839,0,__FULL_BOOK__,11450,405024,320559,35.37327510917031,927.5976089243148,927.5976089243148,4.325727869128616,5.537383522362297,0.0443,93.141,66.64883783936392,8.898387499549397,9.535155905,1,0.132,0.781,0.087,12323,,23587,39276,21023,14616,34129,73726,1888,36457,9926,65849,82,,14616,1888,30398,907,36,39276,22076,811,700,4603,44872,18388,237,10229,541,3,24842,9138,18322,503,321,1594,8329,46,12528,21452,6975,8510,7596,4185,2283,2385,92,1877,,0.073580838,0.12252346681890074,0.065582311,0.045595351,0.1064671402144379,0.22999198275512464,0.005889711,0.11372945386028781,0.030964658611987186,0.20541928318967803,0.000255803,,0.045595351,0.005889711,0.094828097,0.002829432,0.000112304,0.12252346681890074,0.068867198,0.002529955,0.002183685,0.014359291,0.1399804716136499,0.057362295,0.000739333,0.031909882,0.001687677,9.358651605476683e-06,0.077495874,0.028506452790281977,0.057156404905181264,0.001569134,0.001001376,0.004972564,0.025982736,0.000143499,0.039081729,0.066920598,0.021758864982733286,0.026547375,0.023696106,0.013055318989639972,0.007121934,0.007440128,0.000286999,0.005855396,[],,
Dickens,TheOldCuriosityShop,1841,0,__FULL_BOOK__,7661,266820,218115,34.82835139015794,804.4061195768252,804.4061195768252,4.224299108268574,5.024430299274128,0.054,92.8173,67.71173431556068,9.43879262,9.417659831848503,1,0.135,0.776,0.089,9813,2,15997,27290,14543,11157,24249,47633,1057,25151,6832,44142,62,2,11157,1057,21828,575,28,27290,15030,597,370,2673,31419,9255,30,6929,368,3,17054,6604,12569,368,124,1239,5590,34,8289,15171,5357,5615,4496,2541,1478,1419,74,1482,9.16947481832978e-06,0.073342044,0.12511748389610985,0.066675836,0.051151915274052676,0.11117529743483942,0.2183847970107512,0.004846067,0.11531073057790615,0.031322926,0.20237947871535658,0.000284254,9.16947481832978e-06,0.051151915274052676,0.004846067,0.10007564816725122,0.002636224,0.000128373,0.12511748389610985,0.068908603,0.002737088,0.001696353,0.012255003094697752,0.14404786465855168,0.042431744721821055,0.000137542,0.031767646,0.001687183,1.375421222749467e-05,0.078188112,0.030277605850124935,0.057625564,0.001687183,0.000568507,0.00568049,0.025628682117231735,0.000155881,0.038002888,0.069555051,0.024560438300896315,0.025743301,0.020612979391605345,0.011649817756687986,0.006776242,0.006505742,0.000339271,0.006794581,[],,
Dickens,BarnabyRudge,1841,0,__FULL_BOOK__,9306,313574,254422,33.695895121427036,812.8209094340897,812.8209094340897,4.214211035209219,4.902349241,0.0494,97.0355,69.41697279,8.969881399521473,9.474850181727026,1,0.13,0.776,0.094,10533,1,17460,32974,16021,13079,27703,56299,1310,30668,7815,51037,55,,13079,1310,25124,642,26,32974,16181,686,593,3049,36430,10910,40,8919,374,3,20614,8057,13819,414,166,1478,6334,29,9230,17727,5711,6947,5623,2750,1563,1873,124,1622,3.930477710260905e-06,0.068626141,0.1296035720181431,0.062970183,0.051406717972502375,0.10888602400735785,0.2212819646099787,0.005148926,0.12053989041828143,0.030716683305688972,0.20059979089858582,0.000216176,,0.051406717972502375,0.005148926,0.098749322,0.002523367,0.000102192,0.1296035720181431,0.06359906,0.002696308,0.002330773,0.011984027,0.14318730298480478,0.042881512,0.000157219,0.035055931,0.001469999,1.1791433130782716e-05,0.081022868,0.031667859,0.054315271,0.001627218,0.000652459,0.005809246,0.024895645816792572,0.000113984,0.036278309,0.069675578,0.022446958,0.027305028653182507,0.022101076,0.010808814,0.006143337,0.007361785,0.000487379,0.006375235,[],1,3.930477710260905e-06
Dickens,MartinChuzzlewit,1844,0,__FULL_BOOK__,14384,421725,337547,29.319035038932146,640.9235920610638,640.9235920610638,4.182605681579158,5.245363019072378,0.0442,89.9899,70.15125452278328,8.200502013028728,9.440417729612447,1,0.142,0.781,0.077,13292,,24085,42949,22370,14241,34353,77473,1647,41839,10487,68017,86,,14241,1647,30958,932,32,42949,22450,887,748,4624,45545,22113,104,9711,545,11,29463,10213,19474,555,198,1875,8601,54,12516,22631,7038,8334,8318,4556,1918,2070,93,2143,,0.071353026,0.1272385771462937,0.066272252,0.042189680251935285,0.10177249390455255,0.2295176671693127,0.004879321,0.12395014620186226,0.031068266048876157,0.2015037905832373,0.000254779,,0.042189680251935285,0.004879321,0.091714635,0.002761097,9.480161281243798e-05,0.1272385771462937,0.066509256,0.002627782,0.002215988,0.013698833051397286,0.13492935798570274,0.065510877,0.000308105,0.028769326938174536,0.00161459,3.258805440427555e-05,0.087285622,0.030256527239169655,0.057692706,0.001644215,0.000586585,0.005554782,0.025480895993743095,0.000159978,0.037079280811264805,0.067045478,0.020850429717935576,0.024689895036839313,0.024642494230433094,0.013497379624170856,0.005682172,0.006132479,0.000275517,0.006348746,[],,
Dickens,DombeyAndSon,1848,0,__FULL_BOOK__,13268,438699,353029,33.06444075972264,708.8316176628307,708.8316176628307,4.225652850049146,5.1507724369935195,0.0414,85.8878,67.59949534495152,9.124182691563355,9.419487944,1,0.135,0.778,0.086,12607,,24196,45574,22858,16988,35530,82905,1341,42645,11442,69457,93,,16988,1341,31903,1029,55,45574,22698,973,525,4486,47825,25372,112,9596,528,9,27474,12744,19700,611,176,2087,9346,38,12571,23319,7962,8823,7088,5208,2070,2290,137,2371,,0.068538279,0.1290942103906478,0.064748222,0.048120693,0.1006432899280229,0.23483906421285503,0.003798555,0.120797442,0.032410935078987846,0.19674587640108887,0.000263434,,0.048120693,0.003798555,0.090369346,0.002914775,0.000155795,0.1290942103906478,0.064295001,0.002756148,0.00148713,0.012707171365525212,0.13547045710125796,0.07186945,0.000317254,0.027181903,0.001495628,2.549365632851692e-05,0.077823635,0.036099017,0.055802781,0.001730736,0.000498543,0.005911696,0.026473746,0.00010764,0.035608973,0.066054064,0.022553387965294637,0.024992281,0.020077670672947547,0.014752329128768457,0.005863541,0.006486719,0.00038807,0.006716162,[],,
Dickens,DavidCopperfield,1850,0,__FULL_BOOK__,14806,442043,353614,29.855666621639877,501.57683098544135,501.57683098544135,4.0656026062316535,5.2251725065767705,0.0385,80.7209,73.04942144747167,7.5091054850946755,9.217604140643646,1,0.134,0.792,0.074,11656,,22958,45467,23845,15574,33045,70270,1532,53691,12328,74789,115,,15574,1532,29562,937,51,45467,21444,886,628,4950,45368,15735,243,8924,580,3,38757,12666,20226,588,197,1896,10429,64,14016,26621,7458,8834,8877,4033,1966,2200,68,2834,,0.0649239,0.12857805403632208,0.067432285,0.044042374,0.093449354,0.19871950771179875,0.004332408,0.15183505177962411,0.034862873076292225,0.21149897911281793,0.000325213,,0.044042374,0.004332408,0.083599631,0.002649782,0.000144225,0.12857805403632208,0.060642395380273405,0.002505557,0.001775948,0.013998315,0.1282980877453947,0.044497673,0.00068719,0.025236557376121987,0.001640207,8.483826997799861e-06,0.10960256098457641,0.035818717584711016,0.057197962,0.00166283,0.000557105,0.005361779,0.029492610586684915,0.000180988,0.03963644,0.075282653,0.021090793916530456,0.024982042566187992,0.025103644,0.011405091427375613,0.005559735,0.006221473,0.0001923,0.008014389,[],,
Dickens,BleakHouse,1853,0,__FULL_BOOK__,15409,427962,346836,27.773508988253617,502.33159493601187,502.33159493601187,4.129597273639415,5.286365118232198,0.0416,79.5611,73.21545752821923,7.238414879106113,9.350291667,1,0.134,0.795,0.07,12316,3,24650,43544,23807,15615,33568,72497,1697,48286,11944,71113,112,2,15615,1697,30386,929,59,43544,23104,941,605,5071,44786,17269,45,10397,562,7,34273,11715,20646,547,161,1944,9993,53,13913,17182,7171,8234,9276,10266,1691,2206,92,2453,8.64962114659378e-06,0.071071054,0.12554636773575983,0.06864051,0.045021278,0.096783494,0.2090238614215364,0.004892802,0.13921853556147573,0.034437025,0.2050335028659078,0.000322919,5.766414097729186e-06,0.045021278,0.004892802,0.087609129,0.002678499,0.000170109,0.12554636773575983,0.066613616,0.002713098,0.00174434,0.014620742944792351,0.12912731089044965,0.049790102526842656,0.000129744,0.029976703687045175,0.001620362,2.018244934205215e-05,0.098816155,0.033776770577448705,0.059526693,0.001577114,0.000464196,0.005604955,0.028811888039303877,0.00015281,0.04011406,0.049539264,0.020675477747407998,0.023740327,0.026744628585267965,0.029599004,0.004875503,0.006360355,0.000265255,0.007072507,[],1,2.883207048864593e-06
Dickens,HardTimes,1854,0,__FULL_BOOK__,4371,128391,101314,29.37336993822924,553.8519012264493,553.8519012264493,4.162850149041594,5.242949003997105,0.0839,80.4562,72.99863852927804,7.249522062618947,9.293465455639817,1,0.117,0.806,0.077,7596,1,6998,12785,6938,4155,9876,21568,510,13613,3453,21386,31,1,4155,510,8961,263,16,12785,6515,323,160,1453,13573,5088,42,2865,173,1,9541,3358,6037,169,44,550,2902,15,4151,6642,1997,2802,3093,1248,479,700,14,688,9.870304202775529e-06,0.069072389,0.12619183923248514,0.068480171,0.041011113962532326,0.097479124,0.21288272104546263,0.005033855,0.1343644511123833,0.034082160412183905,0.21108632568055746,0.000305979,9.870304202775529e-06,0.041011113962532326,0.005033855,0.088447796,0.00259589,0.000157925,0.12619183923248514,0.064305032,0.003188108,0.001579249,0.014341552006632844,0.13396963894427227,0.050220108,0.000414553,0.028278421540951892,0.001707563,9.870304202775529e-06,0.094172572,0.033144482,0.059587026,0.001668081,0.000434293,0.005428667,0.028643622796454587,0.000148055,0.040971633,0.065558561,0.019710997492942733,0.027656592376177035,0.030528850899184713,0.01231814,0.004727876,0.006909213,0.000138184,0.006790769,[],,
Dickens,LittleDorrit,1857,0,__FULL_BOOK__,13485,412171,337138,30.56514645902855,680.9266606478119,680.9266606478119,4.206621620819961,5.328437428867946,0.0431,77.2803,68.07294430151636,8.712806118907384,9.374307704428679,1,0.13,0.794,0.076,12720,1,23035,43908,22512,14008,33890,73962,1666,43846,11647,68550,113,,14008,1666,30665,887,47,43908,21519,896,620,4826,44048,20306,106,9502,533,6,30682,10827,19624,552,169,1849,9792,66,13289,22606,7143,9100,7769,3817,1805,2241,96,2167,2.966144427504464e-06,0.068325137,0.13023747,0.066773843,0.041549751,0.10052263464812629,0.21938197414708516,0.004941597,0.13005356856836073,0.034546684,0.20332920050543102,0.000335174,,0.041549751,0.004941597,0.090956819,0.00263097,0.000139409,0.13023747,0.063828462,0.002657665,0.00183901,0.014314613007136543,0.13065272974271663,0.060230529,0.000314411,0.028184304,0.001580955,1.7796866565026784e-05,0.091007243,0.032114445716590834,0.058207618,0.001637312,0.000501278,0.005484401,0.029044486,0.000195766,0.039417093297106826,0.067052661,0.021187169645664385,0.026991914290290624,0.023043976,0.011321773,0.005353891,0.00664713,0.00028475,0.006427635,[],1,2.966144427504464e-06
Dickens,ATaleOfTwoCities,1859,0,__FULL_BOOK__,5580,166453,134639,29.830286738351255,531.1735271579246,531.1735271579246,4.220723564494686,5.013469627005155,0.0706,74.4321,72.19282052169487,7.744076259,9.305520167019179,1,0.113,0.792,0.095,8421,,9042,18123,8202,6051,15495,30068,854,16235,4216,26313,40,,6051,854,14124,424,24,18123,8466,359,217,1664,18835,6553,32,4648,195,1,10970,4403,7179,195,50,742,3473,16,4540,9334,2582,3936,2683,1574,752,817,45,778,,0.067157362,0.13460438654476042,0.060918456,0.044942401532988216,0.11508552499647205,0.22332310846040151,0.006342887,0.12058170366684244,0.031313364,0.19543371534250847,0.000297091,,0.044942401532988216,0.006342887,0.10490273991933986,0.003149162,0.000178254,0.13460438654476042,0.062879255,0.002666389,0.001611717,0.012358974739859922,0.13989260169787357,0.04867089,0.000237673,0.034521943864704877,0.001448317,7.42726847347351e-06,0.081477135,0.032702263088703866,0.053320360371066335,0.001448317,0.000371363,0.005511033,0.025794903408373503,0.000118836,0.033719799,0.069326124,0.019177207198508604,0.029233728711591737,0.019927361314329428,0.011690520577247305,0.005585306,0.006068078,0.000334227,0.005778415,[],,
Dickens,GreatExpectations,1861,0,__FULL_BOOK__,7074,225429,182719,31.867260390161153,522.1931520365227,522.1931520365227,4.025766340665174,4.988767955539097,0.0569,74.2774,73.71232728214946,7.8063078523105425,9.131608063,1,0.105,0.816,0.079,9115,1,11087,24446,12127,8620,17667,35616,957,26978,6337,38832,51,1,8620,957,16111,520,28,24446,10339,462,286,2465,22992,7797,78,4749,246,3,20153,5714,10298,290,98,1284,5050,23,6898,15019,3952,5069,3883,1546,790,1069,42,1441,5.472884593282581e-06,0.060677871,0.133790137,0.066369671,0.047176265,0.096689452,0.19492225767435242,0.005237551,0.14764748055757748,0.03468167,0.2125230545263492,0.000279117,5.472884593282581e-06,0.047176265,0.005237551,0.088173644,0.0028459,0.000153241,0.133790137,0.056584153809948606,0.002528473,0.001565245,0.013490660522441564,0.1258325625687531,0.042672081,0.000426885,0.025990729,0.00134633,1.6418653779847745e-05,0.11029504320842387,0.031272063,0.056359766,0.001587137,0.000536343,0.007027184,0.027638067196077035,0.000125876,0.037751957924463245,0.082197254,0.021628839912652763,0.027742052003349404,0.021251210875716263,0.00846108,0.004323579,0.005850514,0.000229861,0.007886427,[],,
Dickens,OurMutualFriend,1865,0,__FULL_BOOK__,13691,408024,323301,29.80235191001388,598.3498038323349,598.3498038323349,4.144728905880279,5.219590999610135,0.0448,77.1178,71.82459653000083,7.544405085357681,9.406272215562598,1,0.124,0.799,0.077,13127,,21309,40920,20571,13495,31382,73690,1484,42617,10742,66999,92,,13495,1484,28810,834,43,40920,19823,894,592,4635,41315,23795,78,8502,375,6,30072,10505,17903,478,149,2003,8733,49,13132,18814,7604,7951,9488,5375,1363,1981,59,2041,,0.065910715,0.1265693579667245,0.063628012,0.041741287530814936,0.097067439,0.22793000949579495,0.00459015,0.13181833647282254,0.033226003,0.20723412547440312,0.000284565,,0.041741287530814936,0.00459015,0.089112004,0.002579639,0.000133003,0.1265693579667245,0.061314379,0.002765225,0.001831111,0.014336485194911243,0.12779112962842676,0.073600144,0.000241261,0.026297475108335577,0.00115991,1.8558556886616496e-05,0.093015487,0.03249294,0.055375641,0.001478498,0.000460871,0.006195465,0.02701198,0.000151562,0.040618495,0.058193448,0.023519877760971974,0.024593180967581296,0.029347264623369552,0.016625373877593944,0.004215886,0.006127417,0.000182492,0.006313002,[],,